ERES_NAME,ERES_CODE,IND
pH,,
Moisture,,
Total Organic Carbon,,
Arsenic,7440-38-2,640
Barium,,
Beryllium,7440-41-7,12
Boron (water soluble),7440-42-8,240000
Cadmium,7440-43-9,190
Copper,7440-50-8,68000
Chromium,7440-47-3,8600
Lead,7439-92-1,2300
Mercury,7439-97-6,58
Nickel,7440-02-0,980
Selenium,7782-49-2,12000
Vanadium,7440-62-2,9000
Zinc,7440-66-6,730000
Speciated PCB-WHO12,,
PCB BZ 81,,
PCB BZ 105,,
PCB BZ 114,,
PCB BZ 118,,
PCB BZ 123,,
PCB BZ 126,,
PCB BZ 156,,
PCB BZ 157,,
PCB BZ 167,,
PCB BZ 169,,
PCB BZ 189,,
PCB BZ 77,,
Total Speciated PCB-WHO12,,
,,
SVOC,,
Hexachlorobenzene,118-74-1,120000
Diethyl phthalate,84-66-2,290000000
Dimethyl phthalate,131-11-3,
Dibenzofuran,132-64-9,
Carbazole,86-74-8,
Butylbenzyl phthalate,85-68-7,950000000
Bis(2-ethylhexyl)phthalate,117-81-7,86000000
Bis(2-chloroethoxy)methane,111-91-1,
Bis(2-chloroethyl)ether,111-44-4,
4-Nitrophenol,100-02-7,
3+4-Methylphenol,P1846,180000000
4-Chloro-3-methylphenol,59-50-7,
2-Nitrophenol,88-75-5,
2-Methylphenol,95-48-7,180000000
2-Chlorophenol,95-57-8,4300000
"2,6-Dinitrotoluene",606-20-2,1900000
"2,4-Dinitrotoluene",121-14-2,3800000
"2,4-Dimethylphenol",105-67-9,30000000
"2,4-Dichlorophenol",120-83-2,
"2,4,6-Trichlorophenol",88-06-2,
"2,4,5-Trichlorophenol",95-95-4,
2-Chloronaphthalene,91-58-7,2200000
2-Methylnaphthalene,91-57-6,
Acenaphthylene,208-96-8,100000000
Acenaphthene,83-32-9,100000000
Anthracene,120-12-7,540000000
Benzo(a)anthracene,56-55-3,97000
Benzo(b)fluoranthene,205-99-2,100000
Benzo(k)fluoranthene,207-08-9,140000
Benzo(a)pyrene,50-32-8,14000
Benzo(ghi)perylene,191-24-2,660000
Chrysene,218-01-9,140000
Fluoranthene,206-44-0,23000000
Fluorene,86-73-7,71000000
"Indeno(1,2,3-cd)pyrene",193-39-5,62000
Phenanthrene,85-01-8,23000000
Pyrene,129-00-0,54000000
Naphthalene,91-20-3,1100000
Dibenzo(ah)anthracene,53-70-3,13000
Bis(2-chloroisopropyl)ether,39638-32-9,
Phenol,108-95-2,3200000
Pentachlorophenol (SVOC),87-86-5,400000
n-Nitroso-n-dipropylamine,621-64-7,
n-Dioctylphthalate,117-84-0,
n-Dibutylphthalate,84-74-2,
Nitrobenzene,98-95-3,
Isophorone,78-59-1,
Hexachloroethane,67-72-1,120000
Hexachlorocyclopentadiene,87-68-3,
Perylene,198-55-0,
,,
VOC,,
Dichlorodifluoromethane,75-71-8,
Chloromethane,74-87-3,1600
Vinyl Chloride (Chloroethene),75-01-4,120
Bromomethane,74-83-9,
Chloroethane,75-00-3,2100000
Trichlorofluoromethane,75-69-4,
"1,1-Dichloroethene",75-35-4,850000
Carbon Disulphide,75-15-0,47000
Dichloromethane,75-09-2,560000
"trans 1,2-Dichloroethene",156-60-5,81000
"1,1-Dichloroethane",75-34-3,850000
"cis 1,2-Dichloroethene",156-59-2,47000
"2,2-Dichloropropane",594-20-7,
Bromochloromethane,74-97-5,
Chloroform,67-66-3,350000
"1,1,1-Trichloroethane",71-55-6,3000000
"1,1-Dichloropropene",563-58-6,
Carbon Tetrachloride,56-23-5,14000
"1,2-Dichloroethane",107-06-2,1700
Benzene,71-43-2,690000
Trichloroethene,79-01-6,5700
"1,2-Dichloropropane",78-87-5,12000
Dibromomethane,74-95-3,
Bromodichloromethane,75-27-4,7600
"cis 1,3-Dichloropropene",10061-01-5,
Toluene,108-88-3,180000000
"trans 1,3-Dichloropropene",10061-02-6,
"1,1,2-Trichloroethane",79-00-5,400000
"1,3-Dichloropropane",142-28-9,
Tetrachloroethene,127-18-4,95000
Dibromochloromethane,124-48-1,
"1,2-Dibromoethane",106-93-4,
Chlorobenzene,108-90-7,290000
"1,1,1,2-Tetrachloroethane",630-20-6,560000
Ethylbenzene,100-41-4,27000000
m & p Xylene,P1374,30000000
o-Xylene,95-47-6,33000000
Styrene,100-42-5,11000000
Bromoform,75-25-2,3100000
Isopropylbenzene,98-82-8,7700000
"1,1,2,2-Tetrachloroethane",79-34-5,1100000
"1,2,3-Trichloropropane",96-18-4,
Bromobenzene,108-86-1,520000
n-Propylbenzene,103-65-1,21000000
2-Chlorotoluene,95-49-8,
"1,3,5-Trimethylbenzene",108-67-8,
4-Chlorotoluene,106-43-4,
tert-Butylbenzene,98-06-6,
"1,2,4-Trimethylbenzene",95-63-6,220000
sec-Butylbenzene,135-98-8,
4-Isopropyltoluene,99-87-6,
"1,3-Dichlorobenzene",541-73-1,170000
"1,4-Dichlorobenzene",106-46-7,25000000
n-Butylbenzene,104-51-8,
"1,2-Dichlorobenzene",95-50-1,11000000
"1,2-Dibromo-3-chloropropane (DCBP)",96-12-8,
"1,2,4-Trichlorobenzene",120-82-1,1300000
Hexachlorobutadiene,87-68-3,
"1,2,3-Trichlorobenzene",87-61-6,590000
,,
TPH CWG,,
Ali >C5-C6,P1407,13000
Ali >C6-C8,P1408,42000
Ali >C8-C10,P1409,12000
Ali >C10-C12,P1410,49000
Ali >C12-C16,P1411,91000
Ali >C16-C21,P1412,1800000
Ali >C21-C35,P1413,1800000
Total Aliphatics,P1418,
Aro >C5-C7,P1441,90000
Aro >C7-C8,P1355,190000
Aro >C8-C10,P1356,18000
Aro >C10-C12,P1357,34500
Aro >C12-C16,P1358,37800
Aro >C16-C21,P1359,28000
Aro >C21-C35,P1360,28000
Total Aromatics,P1947,
TPH (Ali & Aro >C5-C35),P1371,
BTEX - Benzene,71-43-2,690
BTEX - Toluene,108-88-3,180000
BTEX - Ethyl Benzene,100-41-4,27000
BTEX - m & p Xylene,P1374,30000
BTEX - o Xylene,95-47-6,33000
MTBE,1634-04-4,
